,AMSWA
% Above Low,0.0904
% Held by Institutions,0.7678
52-Wk Range,['13.39 - 26.95']
Annual Dividend $,0.44
Annual Dividend %,0.0301
Ask,17.5
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.8
Bid,5.97
Bid Size,200.0
Closing Price,14.6
Day Change $,0.06
Day Change %,0.0040999999999999995
Day High,14.99
Day Low,14.49
Dividend Pay Date,2023-02-17 00:00:00
"EPS (TTM, GAAP)",0.32
Ex-dividend,2023-02-02 00:00:00
Ex-dividend Date,02/02/23
Historical Volatility,0.389
Last (size),17.0
Last (time),1:00p ET 11/25/22
Market Cap,492.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",46.08
Prev Close,14.54
Short Interest,0.0091
Today's Open,14.55
Volume,60760.0
Volume 10-day Avg,140220.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.11111111111111116
Growth 2yr High Est,0.3913043478260869
Growth 2yr Consensus Est,0.25120772946859904
Growth 5yr Low Est,0.11111111111111116
Growth 5yr High Est,0.3913043478260869
Growth 5yr Consensus Est,0.25120772946859904
Growth 5yr Actual/Est,0.2704671215309513
Growth 3yr Historic,0.24891774891774893
Price/Earnings (TTM),46.07713
Price/Sales (TTM),3.79008
Price/Book (MRQ),3.88241
Price/Cash Flow (TTM),34.39395
5yr Low,8.99
5yr High,33.27
5yr Avg Return,0.08305000000000001
EPS Growth 5yr,-0.039875600000000004
Revenue Growth 5yr,0.037153200000000004
Dividend Growth 5yr,0.0046085
Short Int Current Month,326014.0
Short Int Prev Month,403789.0
Short Int Pct of Float,0.0090534
Days to Cover,3.04635
Float,29.60479
Shares Outstanding,33.69665
Institutions Holding Shares,198.0
FCF Growth 5yr,1.1766345335854753
"Price/Earnings (TTM, GAAP)",46.08
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6015
Operating Profit Margin (TTM),0.10800000000000001
Net Profit Margin (TTM),0.0827
Annual Dividend Yield,0.0301
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.0768
EPS Growth (TTM),-0.0643
Revenue Growth (MRQ),0.0045000000000000005
Revenue Growth (TTM),0.11199999999999999
Return On Equity (TTM),0.0818
Return On Assets (TTM),0.0592
Return On Investment (TTM),0.0805
Revenue Per Employee (TTM),310538.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.08
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2021-12-23 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-10-25 00:00:00
theStreet since,
