,DCGO
% Above Low,0.3589
% Held by Institutions,0.3811
52-Wk Range,['4.96 - 11.41']
Annual Dividend $,
Annual Dividend %,
Ask,6.85
Ask Size,2400.0
B/A Ratio,0.041666666666666664
B/A Size,100x2400
Beta,
Bid,6.6
Bid Size,100.0
Closing Price,6.74
Day Change $,-0.03
Day Change %,-0.0044
Day High,6.88
Day Low,6.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.49
Ex-dividend Date,No dividend
Historical Volatility,0.677
Last (size),38.0
Last (time),1:00p ET 11/25/22
Market Cap,694.1M
"P/E Ratio (TTM, GAAP)",13.83
Prev Close,6.77
Short Interest,0.051399999999999994
Today's Open,6.71
Volume,190493.0
Volume 10-day Avg,875881.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-13 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.03703703703703709
Growth 2yr High Est,0.3793103448275863
Growth 2yr Consensus Est,0.1711366538952746
Growth 5yr Low Est,-0.03703703703703709
Growth 5yr High Est,0.3793103448275863
Growth 5yr Consensus Est,0.1711366538952746
Growth 5yr Actual/Est,0.27142857142857146
Growth 3yr Historic,0.0
Price/Earnings (TTM),13.82819
Price/Sales (TTM),1.0655
Price/Book (MRQ),2.62297
Price/Cash Flow (TTM),22.46633
5yr Low,4.96
5yr High,11.86
5yr Avg Return,-0.12343333333333334
Short Int Current Month,4365143.0
Short Int Prev Month,4927582.0
Short Int Pct of Float,0.0514336
Days to Cover,4.68702
Float,85.28495
Shares Outstanding,102.8267
Institutions Holding Shares,154.0
FCF Growth 5yr,-0.13891615882814232
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",13.83
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1727
Operating Profit Margin (TTM),0.058600000000000006
Net Profit Margin (TTM),0.0665
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7342000000000001
EPS Growth (TTM),
Revenue Growth (MRQ),-0.0475
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),381272.0
Total Debt/Total Capital (MRQ),0.042800000000000005
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.56
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-09 00:00:00
ford since,2022-07-01 00:00:00
cfra since,
theStreet since,2022-11-09 00:00:00
newConstructs since,
marketEdge opinion since,
