,DTM
Price/Earnings (TTM),15.59579
Price/Sales (TTM),6.42964
Price/Book (MRQ),1.45467
Price/Cash Flow (TTM),10.50213
5yr Low,38.21
5yr High,61.12
5yr Avg Return,0.19884999999999997
Short Int Current Month,2341499.0
Short Int Prev Month,2314305.0
Short Int Pct of Float,0.024224000000000002
Days to Cover,4.76538
Float,96.67975
Shares Outstanding,96.75098
Institutions Holding Shares,495.0
% Held by Institutions,0.830093
FCF Growth 5yr,0.0823477943156032
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
