,KAI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.97,24.01,Valuation,0.7900874635568512
Price/Sales (TTM),2.53,3.06,Valuation,0.826797385620915
Price/Book (MRQ),3.71,7.44,Valuation,0.49865591397849457
"PEG Ratio (TTM, GAAP)",2.37,1.49,Valuation,1.5906040268456376
Gross Profit Margin (TTM),0.4289,0.32799999999999996,Profitability,1.3076219512195124
Operating Profit Margin (TTM),0.1839,0.0198,Profitability,9.287878787878787
Net Profit Margin (TTM),0.1345,-0.0086,Profitability,-15.63953488372093
Annual Dividend Yield,0.0054,0.0143,Dividend,0.37762237762237766
Dividend Change %,0.0417,0.1666,Dividend,0.2503001200480192
"Dividend Growth Rate, 3 Years",0.0435,0.0885,Dividend,0.4915254237288135
EPS Growth (MRQ),0.0493,0.3518,Gowth rates,0.14013644115974985
EPS Growth (TTM),0.5583,0.16149999999999998,Gowth rates,3.4569659442724463
Revenue Growth (MRQ),0.0129,0.196,Gowth rates,0.06581632653061224
Revenue Growth (TTM),0.21,0.1475,Gowth rates,1.423728813559322
Return On Equity (TTM),0.207,0.2859,Effectiveness,0.7240293809024134
Return On Assets (TTM),0.107,0.0851,Effectiveness,1.2573443008225618
Return On Investment (TTM),0.13140000000000002,0.12490000000000001,Effectiveness,1.0520416333066454
Revenue Per Employee (TTM),307295.0,343373.0,Effectiveness,0.8949305856896145
Total Debt/Total Capital (MRQ),0.256,0.6352000000000001,Financial strength,0.4030226700251889
Change in Debt/Total Capital Quarter over Quarter,-0.0032,0.0189,Financial strength,-0.16931216931216933
Quick Ratio (MRQ),1.15,1.07,Financial strength,1.0747663551401867
Interest Coverage (MRQ),27.15,20.9,Financial strength,1.299043062200957
