,KHC
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.01845018450184499
Growth 1yr High Est,-0.038461538461538436
Growth 1yr Consensus Est,-0.028455861481691713
Growth 2yr Low Est,-0.005465693754681866
Growth 2yr High Est,0.0062237762237762895
Growth 2yr Consensus Est,0.0003790412345472116
Growth 5yr Low Est,-0.002732846877340933
Growth 5yr High Est,0.0048724514921698325
Growth 5yr Consensus Est,0.0010698023074144497
Growth 5yr Actual/Est,-0.00718692820741304
Growth 3yr Historic,0.006971856725146219
