,SOVO
% Below High,0.1895
% Held by Institutions,0.9194
52-Wk Range,['9.52 - 17.41']
Annual Dividend $,
Annual Dividend %,
Ask,14.13
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,14.11
Bid Size,200.0
Day Change $,-0.15
Day Change %,-0.0105
Day High,14.31
Day Low,14.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.28
Ex-dividend Date,No dividend
Historical Volatility,0.44799999999999995
Last (size),100.0
Last (time),2:55p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.26
Price,14.11
Shares Outstanding,101.0M
Short Interest,0.044199999999999996
Today's Open,14.28
Volume Past Day,(Light)
