,VRDN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),488.07,45.03,Valuation,10.83877415056629
Price/Book (MRQ),3.44,12.61,Valuation,0.27279936558287077
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-60.7757,-4.7459,Profitability,12.805937756800608
Net Profit Margin (TTM),-60.093,-4.5467,Profitability,13.216838586227373
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1936,-0.0014000000000000002,Gowth rates,-138.28571428571425
EPS Growth (TTM),0.8572,0.027200000000000002,Gowth rates,31.51470588235294
Revenue Growth (MRQ),3.668,1.3963999999999999,Gowth rates,2.626754511601261
Revenue Growth (TTM),-0.3289,0.9747,Gowth rates,-0.3374371601518416
Return On Equity (TTM),-0.7293000000000001,0.1967,Effectiveness,-3.7076766649720385
Return On Assets (TTM),-0.34159999999999996,0.0016,Effectiveness,-213.49999999999997
Return On Investment (TTM),-0.3633,0.0219,Effectiveness,-16.589041095890412
Revenue Per Employee (TTM),37620.0,1476201.0,Effectiveness,0.025484334450389886
Total Debt/Total Capital (MRQ),0.011200000000000002,0.4675,Financial strength,0.0239572192513369
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
